County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),State FIPS,County FIPS,Year
"Baldwin County, Alabama",170300,679,24157.0,186717,85257,24221.0,93619,50900,01,003,2011
"Calhoun County, Alabama",99100,416,7750.0,117797,47363,24341.0,54373,39037,01,015,2011
"Cullman County, Alabama",112000,410,4878.0,80536,32689,14740.0,36250,40054,01,043,2011
"DeKalb County, Alabama",97100,361,2465.0,71375,29227,13193.0,33281,36541,01,049,2011
"Elmore County, Alabama",148900,479,8339.0,80162,33862,9749.0,38020,57405,01,051,2011
"Etowah County, Alabama",103600,399,5580.0,104303,38969,21557.0,42992,33313,01,055,2011
"Houston County, Alabama",123600,463,8769.0,102369,44762,17524.0,48924,40336,01,069,2011
"Jefferson County, Alabama",141100,570,79928.0,658931,282181,120433.0,319866,41976,01,073,2011
"Lauderdale County, Alabama",109400,385,8346.0,92781,41039,13456.0,43388,40121,01,077,2011
"Lee County, Alabama",157400,559,15132.0,143468,62816,31644.0,70281,42965,01,081,2011
"Limestone County, Alabama",143300,421,7121.0,85369,35335,10978.0,38060,46339,01,083,2011
"Madison County, Alabama",162000,563,49678.0,340111,160022,46644.0,179485,54444,01,089,2011
"Marshall County, Alabama",121400,422,7111.0,94166,36232,17630.0,41776,39245,01,095,2011
"Mobile County, Alabama",121700,553,34524.0,412577,169574,78581.0,190951,42372,01,097,2011
"Montgomery County, Alabama",119700,543,28778.0,232032,98500,51841.0,109167,44185,01,101,2011
"Morgan County, Alabama",120400,416,9790.0,119953,55010,20232.0,60599,43590,01,103,2011
"St. Clair County, Alabama",140300,456,5874.0,84398,34075,16636.0,39629,47500,01,115,2011
"Shelby County, Alabama",189500,740,34393.0,197936,99265,13290.0,107777,65815,01,117,2011
"Talladega County, Alabama",96200,352,4776.0,81664,27865,21612.0,34702,30367,01,121,2011
"Tuscaloosa County, Alabama",151500,573,17488.0,197211,82159,37977.0,91264,42056,01,125,2011
"Walker County, Alabama",81800,374,3964.0,66661,23325,15451.0,27423,34343,01,127,2011
"Anchorage Municipality, Alaska",284600,978,35207.0,295570,149295,21980.0,161682,72813,02,020,2011
"Fairbanks North Star Borough, Alaska",205900,1058,10450.0,99192,47135,9913.0,50389,65920,02,090,2011
"Matanuska-Susitna Borough, Alaska",218000,914,7259.0,91946,37944,11074.0,42727,68672,02,170,2011
"Apache County, Arizona",92600,348,2676.0,72401,19975,26326.0,25821,31123,04,001,2011
"Cochise County, Arizona",143200,610,10756.0,133289,44460,23904.0,49877,40903,04,003,2011
"Coconino County, Arizona",202100,793,14426.0,134511,64200,27630.0,71715,45045,04,005,2011
"Maricopa County, Arizona",161500,753,479902.0,3880244,1730915,664966.0,1921062,50770,04,013,2011
"Mohave County, Arizona",119200,616,10459.0,202351,69033,42638.0,81250,35983,04,015,2011
"Navajo County, Arizona",98700,467,5848.0,107398,32108,34710.0,40804,30937,04,017,2011
"Pima County, Arizona",165700,648,113911.0,989569,406591,197507.0,461303,44112,04,019,2011
"Pinal County, Arizona",104300,770,32260.0,382992,120439,61458.0,144474,44107,04,021,2011
"Yavapai County, Arizona",167000,642,27191.0,211888,79773,39834.0,90202,41719,04,025,2011
"Yuma County, Arizona",114200,668,11053.0,200870,65587,41956.0,75863,38390,04,027,2011
"Benton County, Arkansas",148200,593,28819.0,227556,101842,27071.0,107799,52341,05,007,2011
"Craighead County, Arkansas",121000,511,9309.0,98315,40918,20547.0,47794,37390,05,031,2011
"Faulkner County, Arkansas",135700,556,10670.0,116342,55058,16703.0,59856,49886,05,045,2011
"Garland County, Arkansas",125300,528,7039.0,97124,39856,20698.0,44027,34251,05,051,2011
"Jefferson County, Arkansas",84900,417,6957.0,76246,29295,16570.0,34511,39176,05,069,2011
"Lonoke County, Arkansas",111900,483,5517.0,69341,31379,10479.0,33206,48161,05,085,2011
"Pulaski County, Arkansas",146700,589,53068.0,386299,181128,62609.0,200441,43461,05,119,2011
"Saline County, Arkansas",136700,582,11854.0,109526,50874,10133.0,54279,53557,05,125,2011
"Sebastian County, Arkansas",110300,471,10685.0,127127,54042,28340.0,58632,35703,05,131,2011
"Washington County, Arkansas",140800,499,22032.0,207521,98809,43061.0,107158,37449,05,143,2011
"White County, Arkansas",101600,435,6783.0,78167,32421,13959.0,35230,44626,05,145,2011
"Alameda County, California",480700,1173,250311.0,1529875,723858,197283.0,807723,67558,06,001,2011
"Butte County, California",226600,741,22383.0,220266,84351,49774.0,100261,39179,06,007,2011
"Contra Costa County, California",391400,1181,172974.0,1066096,481728,127369.0,545511,74353,06,013,2011
"El Dorado County, California",337900,871,26353.0,180938,77911,18802.0,91662,61084,06,017,2011
"Fresno County, California",184300,730,70290.0,942904,359891,238706.0,429145,42807,06,019,2011
"Humboldt County, California",304900,757,16958.0,134761,56462,28345.0,64558,41187,06,023,2011
"Imperial County, California",130800,592,9348.0,177057,58975,44333.0,70630,37843,06,025,2011
"Kern County, California",155900,713,48730.0,851710,316785,201230.0,372897,45224,06,029,2011
"Kings County, California",169600,769,10604.0,153765,50655,27101.0,60550,50345,06,031,2011
"Lake County, California",192200,791,6009.0,64323,25571,15651.0,30800,35991,06,033,2011
